Pocz_lp,Y,X1_Z2,X4_Z1,Ranga(X5),X6_Z2,X6_Z3,X6_Z5,X9,X10_Z2,X10_Z3,Ranga(X11),X12_Z1,Ranga(X12),X14_Z2,Ranga(X14),X15_Z1,X15_Z3,X18,X24
119,0,0,0,1619.5,0,0,0,72617.27,0,0,1521.5,0,994.5,1,1170.5,0,0,0,1
120,0,0,0,2119.5,0,0,0,27342.42,0,0,2084.5,1,268.5,1,1170.5,1,0,0,1
123,0,0,0,1619.5,1,0,0,29853.36,0,0,329.5,1,268.5,0,284.5,1,0,1,1
125,0,0,0,883.5,1,0,0,28222.09,0,0,966.5,0,1926.5,0,2086.5,1,0,1,1
126,0,0,1,1619.5,0,0,0,77387.43,0,0,1521.5,0,1926.5,1,1170.5,1,0,1,1
127,0,0,0,883.5,0,0,0,-7222.01,0,0,329.5,1,268.5,0,284.5,0,0,1,1
131,0,0,1,883.5,0,0,0,37503.87,0,0,329.5,0,1926.5,0,284.5,1,0,0,1
132,0,0,0,883.5,0,0,0,18985.46,0,0,329.5,0,1926.5,1,1170.5,1,0,1,1
133,0,0,0,883.5,0,0,0,-42947.57,0,0,1521.5,0,1926.5,0,2086.5,1,0,0,1
139,0,0,0,2119.5,0,0,0,57352.9,0,0,329.5,0,994.5,0,284.5,0,0,0,1
140,0,1,0,883.5,1,0,0,231.28,0,0,329.5,0,1926.5,0,2086.5,0,0,1,1
141,0,0,0,1619.5,1,0,0,46744.05,0,0,1521.5,0,1926.5,0,2086.5,0,0,0,1
142,0,0,0,883.5,0,0,1,19404.57,1,0,329.5,0,1926.5,1,1170.5,1,0,0,1
145,0,0,0,883.5,0,0,0,15028.59,1,0,329.5,0,994.5,0,284.5,1,0,1,1
146,0,0,0,1619.5,0,1,0,36822.1,1,0,2084.5,0,994.5,0,284.5,0,0,0,1
148,0,0,1,1619.5,1,0,0,35439.93,0,0,2084.5,0,1926.5,1,1170.5,1,0,0,1
149,0,0,0,883.5,1,0,0,29580.1,0,0,329.5,0,1926.5,1,1170.5,1,0,1,1
